candidate_id,status,total_score,num_crossings_total,num_primitives_with_crossing,num_primitives_with_meaningful_jump,theta,a,Delta,omega_bar,k,lam,a_base_score,a_importance_weight,a_weighted_score,a_num_crossings,a_has_crossing,a_has_meaningful_jump,a_interior_crossing,a_clean_gap_slope,a_extra_crossings,a_max_jump,a_max_gap_slope,a_max_gap_change,a_best_crossing_x,a_best_crossing_index_left,Delta_base_score,Delta_importance_weight,Delta_weighted_score,Delta_num_crossings,Delta_has_crossing,Delta_has_meaningful_jump,Delta_interior_crossing,Delta_clean_gap_slope,Delta_extra_crossings,Delta_max_jump,Delta_max_gap_slope,Delta_max_gap_change,Delta_best_crossing_x,Delta_best_crossing_index_left,lam_base_score,lam_importance_weight,lam_weighted_score,lam_num_crossings,lam_has_crossing,lam_has_meaningful_jump,lam_interior_crossing,lam_clean_gap_slope,lam_extra_crossings,lam_max_jump,lam_max_gap_slope,lam_max_gap_change,lam_best_crossing_x,lam_best_crossing_index_left,theta_base_score,theta_importance_weight,theta_weighted_score,theta_num_crossings,theta_has_crossing,theta_has_meaningful_jump,theta_interior_crossing,theta_clean_gap_slope,theta_extra_crossings,theta_max_jump,theta_max_gap_slope,theta_max_gap_change,theta_best_crossing_x,theta_best_crossing_index_left,k_base_score,k_importance_weight,k_weighted_score,k_num_crossings,k_has_crossing,k_has_meaningful_jump,k_interior_crossing,k_clean_gap_slope,k_extra_crossings,k_max_jump,k_max_gap_slope,k_max_gap_change,k_best_crossing_x,k_best_crossing_index_left,omega_bar_base_score,omega_bar_importance_weight,omega_bar_weighted_score,omega_bar_num_crossings,omega_bar_has_crossing,omega_bar_has_meaningful_jump,omega_bar_interior_crossing,omega_bar_clean_gap_slope,omega_bar_extra_crossings,omega_bar_max_jump,omega_bar_max_gap_slope,omega_bar_max_gap_change,omega_bar_best_crossing_x,omega_bar_best_crossing_index_left,error
197,ok,260,9,6,6,2.029344687,2.668667072,0.739643717,2.080149104,0.72995238,0.720516335,12,3,36,3,1,1,1,1,2,3.409780515,7.225507286,0.480679934,0.174788136,1,22,3,66,1,1,1,1,1,0,0.624074855,0.00103515,3.42E-05,0.727542373,20,22,3,66,1,1,1,1,1,0,0.616566411,0.001879044,3.18E-05,0.720338983,42,20,2,40,1,1,1,1,0,0,0.612519588,3.75E-05,9.21E-07,1.824152542,31,20,2,40,1,1,1,1,0,0,0.622022539,0.000399205,5.41E-06,0.703389831,44,12,1,12,2,1,1,0,1,1,0.619620241,0.044444061,0.001506578,0.516949153,0,
1601,ok,259,6,5,5,1.289812403,1.367863933,1.868865712,1.338837636,0.113604229,0.9610257,22,3,66,1,1,1,1,1,0,1.485493694,0.232793425,0.015486681,0.706991525,9,22,3,66,1,1,1,1,1,0,0.803041333,0.001753241,5.79E-05,0.727542373,20,22,3,66,1,1,1,1,1,0,1.301040899,0.005937563,0.000100637,0.43220339,25,0,2,0,0,0,0,0,0,0,0,0,0,,,22,2,44,1,1,1,1,1,0,1.467622333,0.289005854,0.003918723,0.215254237,8,17,1,17,2,1,1,1,1,1,1.380124031,31.1542332,1.056075702,1.161016949,19,
650,ok,259,5,5,5,2.33119977,0.705661988,0.683443854,2.241550852,0.453657559,0.596783343,22,3,66,1,1,1,1,1,0,0.593429212,0.002060298,0.000137062,1.172669492,16,22,3,66,1,1,1,1,1,0,0.376934048,0.001842738,6.09E-05,0.363983051,9,22,3,66,1,1,1,1,1,0,0.55307197,0.012117111,0.000205375,0.466101695,27,0,2,0,0,0,0,0,0,0,0,0,0,,,22,2,44,1,1,1,1,1,0,0.591494426,0.008327028,0.000112909,0.255932203,11,17,1,17,1,1,1,0,1,0,0.543750581,0.330429491,0.011201,0.550847458,1,
731,ok,259,5,5,5,1.324110869,0.586839257,0.58884331,2.496206914,0.518513767,0.536769593,22,3,66,1,1,1,1,1,0,0.518951727,0.001901732,0.000126514,0.840042373,11,22,3,66,1,1,1,1,1,0,0.313060936,0.000892515,2.95E-05,0.330932203,8,22,3,66,1,1,1,1,1,0,0.449462778,0.005661456,9.60E-05,0.43220339,25,0,2,0,0,0,0,0,0,0,0,0,0,,,22,2,44,1,1,1,1,1,0,0.495306392,0.004280421,5.80E-05,0.337288136,17,17,1,17,1,1,1,0,1,0,0.461234674,0.145891916,0.004945489,0.516949153,0,
847,ok,259,5,5,5,2.46747892,0.148774438,0.668349167,1.257269257,0.118234817,0.721375234,22,3,66,1,1,1,1,1,0,0.843570208,0.011280141,0.000750416,0.507415254,6,22,3,66,1,1,1,1,1,0,1.383006947,0.581870205,0.019231303,1.190254237,34,22,3,66,1,1,1,1,1,0,0.809807336,0.038865489,0.000658737,0.381355932,22,0,2,0,0,0,0,0,0,0,0,0,0,,,22,2,44,1,1,1,1,1,0,1.264661705,0.614311473,0.008329647,0.377966102,20,17,1,17,1,1,1,0,1,0,0.857486367,0.507271066,0.017195629,0.652542373,4,
1476,ok,259,5,5,5,1.484423917,1.091206778,0.643838597,1.761961869,0.213874448,0.750932464,22,3,66,1,1,1,1,1,0,0.663655349,0.002063245,0.000137258,0.906567797,12,22,3,66,1,1,1,1,1,0,0.700089205,0.003004891,9.93E-05,0.727542373,20,22,3,66,1,1,1,1,1,0,0.642462435,0.004055542,6.87E-05,0.805084746,47,0,2,0,0,0,0,0,0,0,0,0,0,,,22,2,44,1,1,1,1,1,0,0.650372738,0.004683939,6.35E-05,0.269491525,12,17,1,17,1,1,1,0,1,0,0.643999922,0.002409444,8.17E-05,0.584745763,2,
1592,ok,259,5,5,5,1.355366451,0.312855992,0.591199044,1.391932222,0.625955728,0.497330026,22,3,66,1,1,1,1,1,0,0.684710881,0.002272248,0.000151162,0.906567797,12,22,3,66,1,1,1,1,1,0,1.282651581,0.2704605,0.008938949,1.091101695,31,22,3,66,1,1,1,1,1,0,0.609523503,0.011706237,0.000198411,0.245762712,14,0,2,0,0,0,0,0,0,0,0,0,0,,,22,2,44,1,1,1,1,1,0,0.707474274,0.015730457,0.000213294,0.188135593,6,17,1,17,1,1,1,0,1,0,0.725893815,0.198389125,0.006725055,0.686440678,5,
1362,ok,258,8,6,6,1.472105401,0.599677865,0.326754507,1.907888359,0.823357721,0.436670426,17,3,51,2,1,1,1,1,1,3.280279108,0.069173146,0.004601773,0.108262712,0,17,3,51,2,1,1,1,1,1,1.341207281,0.163800177,0.005413735,1.818220339,53,22,3,66,1,1,1,1,1,0,0.302403768,0.000851204,1.44E-05,0.43220339,25,20,2,40,1,1,1,1,0,0,0.301001046,2.49E-05,6.12E-07,1.529237288,19,15,2,30,1,1,1,0,0,0,0.31203863,7.40E-05,1.00E-06,0.838983051,54,20,1,20,1,1,1,1,0,0,0.300628366,5.63E-06,1.91E-07,1.56779661,31,
191,ok,257,8,6,6,1.398652787,0.260527254,0.186953358,0.630632619,0.439773298,0.339899972,17,3,51,1,1,1,0,1,0,0.956473858,0.018420196,0.001225411,0.241313559,2,12,3,36,3,1,1,1,1,2,1.322283717,28.94956128,0.956807534,1.652966102,48,22,3,66,1,1,1,1,1,0,0.449018116,0.005232846,8.87E-05,0.330508475,19,20,2,40,1,1,1,1,0,0,0.443030713,0.000106241,2.61E-06,1.308050847,10,22,2,44,1,1,1,1,1,0,0.467260889,0.002909127,3.94E-05,0.43220339,24,20,1,20,1,1,1,1,0,0,0.444460775,9.75E-06,3.31E-07,1.059322034,16,
169,ok,257,6,5,5,1.094540008,0.855891693,0.11500465,0.776840512,0.676001593,0.767453962,22,3,66,1,1,1,1,1,0,0.305461843,0.00035474,2.36E-05,0.840042373,11,17,3,51,2,1,1,1,1,1,1.293443525,0.178136299,0.005887556,0.793644068,22,20,3,60,1,1,1,1,0,0,0.254717494,0.000374906,6.35E-06,0.805084746,47,20,2,40,1,1,1,1,0,0,0.255484071,3.10E-05,7.61E-07,1.529237288,19,20,2,40,1,1,1,1,0,0,0.255764243,0.00011573,1.57E-06,0.744067797,47,0,1,0,0,0,0,0,0,0,0,0,0,,,
830,ok,254,10,6,6,1.701311563,3.368611994,1.039858338,1.163079133,0.654888873,0.609290987,12,3,36,3,1,1,1,1,2,1.494592878,14.5140349,0.965552322,0.507415254,6,17,3,51,2,1,1,1,1,1,1.467410723,0.080836631,0.002671719,1.818220339,53,22,3,66,1,1,1,1,1,0,1.008136267,0.00423138,7.17E-05,0.601694915,35,20,2,40,1,1,1,1,0,0,0.997029752,6.51E-05,1.60E-06,1.430932203,15,22,2,44,1,1,1,1,1,0,1.011603232,0.000810341,1.10E-05,0.622033898,38,17,1,17,2,1,1,1,1,1,1.023312296,0.041960077,0.001422375,0.652542373,4,
871,ok,254,6,5,5,1.128574306,0.124617203,0.476060995,1.63597456,0.258681018,0.836689705,22,3,66,1,1,1,1,1,0,0.583484282,0.001662658,0.000110609,0.906567797,12,22,3,66,1,1,1,1,1,0,1.267812087,0.549458717,0.018160076,0.826694915,23,22,3,66,1,1,1,1,1,0,0.47966147,0.015561839,0.00026376,0.228813559,13,0,2,0,0,0,0,0,0,0,0,0,0,,,17,2,34,2,1,1,1,1,1,1.199930516,0.341294513,0.004627722,0.622033898,38,22,1,22,1,1,1,1,1,0,0.731410596,0.377497472,0.012796524,0.822033898,9,
981,ok,254,6,5,5,1.720508326,0.102280639,0.473121847,2.275540673,0.237214333,0.911209189,22,3,66,1,1,1,1,1,0,0.513648374,0.001497202,9.96E-05,0.97309322,13,22,3,66,1,1,1,1,1,0,1.278214424,0.854865766,0.028254038,0.925847458,26,22,3,66,1,1,1,1,1,0,0.378202242,0.015123339,0.000256328,0.211864407,12,0,2,0,0,0,0,0,0,0,0,0,0,,,17,2,34,2,1,1,1,1,1,1.194446166,0.4372217,0.00592843,0.676271186,42,22,1,22,1,1,1,1,1,0,0.637523823,0.403903452,0.013691642,0.957627119,13,
1089,ok,254,6,5,5,1.839181764,0.122519673,0.505061927,1.973415232,0.245416238,0.794874281,22,3,66,1,1,1,1,1,0,0.558673486,0.002699292,0.000179572,0.840042373,11,22,3,66,1,1,1,1,1,0,1.281011909,0.897792734,0.029672811,1.025,29,22,3,66,1,1,1,1,1,0,0.445691073,0.018464393,0.000312956,0.228813559,13,0,2,0,0,0,0,0,0,0,0,0,0,,,17,2,34,2,1,1,1,1,1,1.198472927,0.29577934,0.004010567,0.744067797,47,22,1,22,1,1,1,1,1,0,0.641570634,0.436510271,0.014796958,0.822033898,9,
1706,ok,254,6,5,5,2.385354756,0.127616183,0.634576639,1.311348759,0.191330028,0.802851636,22,3,66,1,1,1,1,1,0,0.76585241,0.003356542,0.000223295,0.97309322,13,22,3,66,1,1,1,1,1,0,1.294285003,0.573487609,0.018954251,0.859745763,24,22,3,66,1,1,1,1,1,0,0.761325747,0.04229539,0.000716871,0.262711864,15,0,2,0,0,0,0,0,0,0,0,0,0,,,17,2,34,2,1,1,1,1,1,1.262189267,0.73494,0.009965288,0.323728814,16,22,1,22,1,1,1,1,1,0,0.962034829,0.54266122,0.018395296,0.889830508,11,
730,ok,254,5,5,5,2.334133069,0.951649403,0.889192101,2.292157915,0.496192574,0.66615925,22,3,66,1,1,1,1,1,0,0.667644722,0.000359817,2.39E-05,2.436652542,35,22,3,66,1,1,1,1,1,0,0.40753726,0.00191014,6.31E-05,0.397033898,10,22,3,66,1,1,1,1,1,0,0.64249329,0.012969165,0.000219816,0.449152542,26,0,2,0,0,0,0,0,0,0,0,0,0,,,17,2,34,1,1,1,0,1,0,0.685398088,0.00634832,8.61E-05,0.174576271,5,22,1,22,1,1,1,1,1,0,0.657572771,0.316857197,0.010740922,0.720338983,6,
1526,ok,254,5,5,5,2.196538484,0.441111943,0.932958566,2.306188798,0.293931797,0.582996413,22,3,66,1,1,1,1,1,0,0.694827282,0.001765515,0.000117452,1.172669492,16,22,3,66,1,1,1,1,1,0,0.347603734,0.001881265,6.22E-05,0.330932203,8,22,3,66,1,1,1,1,1,0,0.667950477,0.024267477,0.000411313,0.381355932,22,0,2,0,0,0,0,0,0,0,0,0,0,,,17,2,34,1,1,1,0,1,0,0.707909623,0.011846078,0.000160625,0.106779661,0,22,1,22,1,1,1,1,1,0,0.67658716,0.331281695,0.011229888,0.788135593,8,
1881,ok,254,5,5,5,2.089642673,0.357908355,0.410966391,1.514188592,0.85221903,0.791254229,22,3,66,1,1,1,1,1,0,0.499105971,0.00021147,1.41E-05,1.771398305,25,22,3,66,1,1,1,1,1,0,1.236878473,0.269564131,0.008909323,0.76059322,21,22,3,66,1,1,1,1,1,0,0.398458075,0.002719021,4.61E-05,0.262711864,15,0,2,0,0,0,0,0,0,0,0,0,0,,,17,2,34,1,1,1,0,1,0,0.557446988,0.013257466,0.000179762,0.120338983,1,22,1,22,1,1,1,1,1,0,0.672723911,0.167048218,0.005662651,0.720338983,6,
1597,ok,253,8,6,6,1.41532332,1.309708053,0.181656113,0.733979637,0.686764872,0.967466428,22,3,66,1,1,1,1,1,0,0.440429766,0.000540746,3.60E-05,1.305720339,18,12,3,36,3,1,1,1,1,2,1.439663755,47.55109714,1.571604058,1.917372881,56,17,3,51,1,1,1,0,1,0,0.41189067,0.00089505,1.52E-05,0.957627119,56,20,2,40,1,1,1,1,0,0,0.409068564,5.56E-05,1.37E-06,1.308050847,10,20,2,40,1,1,1,1,0,0,0.421866293,0.000551319,7.48E-06,0.676271186,42,20,1,20,1,1,1,1,0,0,0.41103503,1.09E-05,3.70E-07,1.025423729,15,
288,ok,253,6,5,5,1.501920814,0.627373626,0.220734999,1.467204661,0.703261313,0.541279795,22,3,66,1,1,1,1,1,0,0.375013505,0.001136789,7.56E-05,0.640466102,8,17,3,51,2,1,1,1,1,1,1.354852334,0.223353639,0.007382027,1.388559322,40,22,3,66,1,1,1,1,1,0,0.274598111,0.001109269,1.88E-05,0.516949153,30,15,2,30,1,1,1,0,0,0,0.270229988,3.45E-05,8.47E-07,1.062288136,0,20,2,40,1,1,1,1,0,0,0.29368615,0.000572891,7.77E-06,0.649152542,40,0,1,0,0,0,0,0,0,0,0,0,0,,,
1349,ok,252,6,5,5,2.205053969,0.411924181,0.300381204,1.741471263,0.301370841,0.573341742,17,3,51,1,1,1,0,1,0,0.466753924,0.007680792,0.000510968,0.440889831,5,17,3,51,2,1,1,1,1,1,1.405773917,0.647937794,0.021414893,1.851271186,54,22,3,66,1,1,1,1,1,0,0.35968644,0.005297959,8.98E-05,0.56779661,33,20,2,40,1,1,1,1,0,0,0.355756398,7.19E-05,1.77E-06,1.676694915,25,22,2,44,1,1,1,1,1,0,0.378064357,0.005805852,7.87E-05,0.296610169,14,0,1,0,0,0,0,0,0,0,0,0,0,,,
1182,ok,252,5,5,5,2.118151067,3.352121118,0.662677046,2.487322397,0.668690306,0.8464604,20,3,60,1,1,1,1,0,0,0.562762502,0.000109146,7.26E-06,3.234957627,47,22,3,66,1,1,1,1,1,0,0.569728935,0.00089217,2.95E-05,0.661440678,18,22,3,66,1,1,1,1,1,0,0.560285205,0.001209966,2.05E-05,0.855932203,50,0,2,0,0,0,0,0,0,0,0,0,0,,,20,2,40,1,1,1,1,0,0,0.560055422,0.00020421,2.77E-06,0.716949153,45,20,1,20,1,1,1,1,0,0,0.558230333,3.38E-05,1.14E-06,1.805084746,38,
56,ok,249,6,5,5,2.068245313,0.099280986,0.419495062,2.205238689,0.564283355,0.815510195,22,3,66,1,1,1,1,1,0,0.455272782,0.000719081,4.78E-05,1.50529661,21,17,3,51,2,1,1,1,1,1,1.192687262,0.477880533,0.015794357,0.562288136,15,22,3,66,1,1,1,1,1,0,0.318649554,0.009635933,0.000163321,0.110169492,6,0,2,0,0,0,0,0,0,0,0,0,0,,,22,2,44,1,1,1,1,1,0,1.014801992,0.030661884,0.000415754,0.771186441,49,22,1,22,1,1,1,1,1,0,0.87882634,0.162266167,0.005500548,1.533898305,30,
303,ok,249,6,5,5,1.494924238,0.147352382,0.620681857,1.36466697,0.55749847,0.581709042,22,3,66,1,1,1,1,1,0,0.711754144,0.001880562,0.000125105,1.172669492,16,22,3,66,1,1,1,1,1,0,1.209959269,0.257326021,0.008504843,0.661440678,18,17,3,51,2,1,1,1,1,1,1.212181798,0.416540439,0.007060007,0.63559322,37,0,2,0,0,0,0,0,0,0,0,0,0,,,22,2,44,1,1,1,1,1,0,1.22253766,0.270736957,0.00367101,0.622033898,38,22,1,22,1,1,1,1,1,0,1.167385459,0.173741504,0.005889543,1.262711864,22,
461,ok,249,6,5,5,1.85703209,0.17645703,0.565157567,0.955157609,0.762567484,0.339014976,22,3,66,1,1,1,1,1,0,0.920608692,0.006434086,0.00042803,0.573940678,7,22,3,66,1,1,1,1,1,0,1.197118595,0.100535574,0.003322786,0.661440678,18,17,3,51,2,1,1,1,1,1,1.182643685,0.177464934,0.00300788,0.43220339,25,0,2,0,0,0,0,0,0,0,0,0,0,,,22,2,44,1,1,1,1,1,0,0.903735925,0.027943641,0.000378897,0.188135593,6,22,1,22,1,1,1,1,1,0,1.036212115,0.110438196,0.003743668,0.788135593,8,
1113,ok,249,6,5,5,2.064650842,0.125128912,0.281325827,1.082624203,0.615011779,0.886310351,22,3,66,1,1,1,1,1,0,0.490537378,0.000971122,6.46E-05,1.438771186,20,17,3,51,2,1,1,1,1,1,1.147612766,0.313494502,0.010361259,0.330932203,8,22,3,66,1,1,1,1,1,0,0.396033057,0.007577022,0.000128424,0.127118644,7,0,2,0,0,0,0,0,0,0,0,0,0,,,22,2,44,1,1,1,1,1,0,1.148160526,0.170709673,0.002314707,0.757627119,48,22,1,22,1,1,1,1,1,0,1.040211158,0.190376541,0.006453442,0.923728814,12,
1599,ok,249,6,5,5,2.481277591,0.442105215,0.882588861,0.978746619,0.3797912,0.995093836,22,3,66,1,1,1,1,1,0,1.439298963,1.140342954,0.075861798,0.573940678,7,22,3,66,1,1,1,1,1,0,1.340400467,0.405180405,0.013391556,0.76059322,21,17,3,51,2,1,1,1,1,1,1.354588341,0.457292229,0.007750716,0.805084746,47,0,2,0,0,0,0,0,0,0,0,0,0,,,22,2,44,1,1,1,1,1,0,1.369093573,0.656162943,0.008897125,0.283050847,13,22,1,22,1,1,1,1,1,0,1.581736817,0.507473021,0.017202475,1.161016949,19,
1606,ok,249,6,5,5,2.166714572,1.906818221,1.191686985,0.809674769,0.200194347,0.905600602,22,3,66,1,1,1,1,1,0,1.489254532,0.051416429,0.0034205,1.172669492,16,17,3,51,2,1,1,1,1,1,1.475896027,0.184415406,0.006095085,1.322457627,38,22,3,66,1,1,1,1,1,0,1.417273128,0.012543983,0.00021261,0.584745763,34,0,2,0,0,0,0,0,0,0,0,0,0,,,22,2,44,1,1,1,1,1,0,1.471025411,0.138796993,0.001881993,0.337288136,17,22,1,22,1,1,1,1,1,0,1.405022736,0.317777655,0.010772124,0.720338983,6,
1810,ok,249,6,5,5,1.420571502,0.11410073,0.434487151,1.146643756,0.395208744,0.542653762,22,3,66,1,1,1,1,1,0,0.700447873,0.008365882,0.000556544,0.573940678,7,22,3,66,1,1,1,1,1,0,1.229572272,0.236200356,0.007806622,0.628389831,17,17,3,51,2,1,1,1,1,1,1.194517744,0.43030275,0.007293267,0.889830508,52,0,2,0,0,0,0,0,0,0,0,0,0,,,22,2,44,1,1,1,1,1,0,1.155755086,0.142181923,0.00192789,0.730508475,46,22,1,22,1,1,1,1,1,0,0.822659405,0.261850686,0.008876294,0.720338983,6,
